"Group","Median_grain_size","Sorting_coefficient"
"A",0.333,1.08
"A",0.34,1.08
"A",0.338,1.09
"A",0.333,1.1
"A",0.323,1.13
"A",0.327,1.12
"A",0.329,1.13
"A",0.331,1.13
"A",0.336,1.12
"A",0.333,1.14
"A",0.341,1.14
"A",0.328,1.15
"A",0.336,1.15
"A",0.327,1.16
"A",0.329,1.16
"A",0.33,1.16
"A",0.323,1.17
"A",0.328,1.17
"A",0.332,1.17
"A",0.331,1.18
"A",0.326,1.18
"A",0.333,1.18
"A",0.33,1.19
"A",0.336,1.19
"A",0.327,1.2
"A",0.324,1.21
"A",0.332,1.21
"A",0.322,1.22
"A",0.329,1.22
"A",0.325,1.24
"A",0.328,1.26
"A",0.322,1.27
"A",0.318,1.22
"A",0.33,1.17
"B",0.339,1.12
"B",0.346,1.12
"B",0.35,1.12
"B",0.352,1.13
"B",0.341,1.15
"B",0.347,1.15
"B",0.337,1.16
"B",0.343,1.16
"B",0.34,1.17
"B",0.346,1.17
"B",0.349,1.17
"B",0.339,1.18
"B",0.342,1.18
"B",0.346,1.18
"B",0.351,1.18
"B",0.34,1.19
"B",0.344,1.19
"B",0.333,1.2
"B",0.337,1.2
"B",0.339,1.2
"B",0.342,1.2
"B",0.339,1.21
"B",0.34,1.21
"B",0.341,1.21
"B",0.335,1.22
"B",0.337,1.22
"B",0.34,1.22
"B",0.343,1.22
"B",0.334,1.22
"B",0.348,1.22
"B",0.337,1.22
"B",0.342,1.23
"B",0.334,1.24
"B",0.34,1.24
"B",0.342,1.24
"B",0.331,1.25
"B",0.336,1.25
"B",0.341,1.25
"B",0.334,1.26
"B",0.337,1.27
"B",0.339,1.27
"B",0.33,1.28
"B",0.334,1.28
"B",0.332,1.29
"B",0.33,1.31
"B",0.334,1.31
"B",0.34,1.21
